Package_ID,Package_Name,Package_Badge,Package_Base_INR,Package_Base_USD,Turnaround,Macro_ID,Macro_Name,Macro_Category,Macro_Is_Essential,Macro_Price_INR,Macro_Price_USD,Macro_Description,Micro_ID,Micro_Name,Micro_Tag,Micro_Detail
luxury-landing-sprint,"Luxury Landing Sprint (Base Foundation)","Core Foundation",5000,100,"5-7 Days",ls_macro_core_arch,"Core Responsive Architecture & Luxury Layout","Architecture & Performance",TRUE,1500,30,"Mobile-first responsive layout with server-rendered Next.js App Router DOM, zero layout shift, and Vercel edge deployment.",ls_micro_1,"Bespoke Mobile, Tablet & 4K Breakpoints",Responsive,"Tailored viewport layouts with precision padding for phones, tablets, and ultra-wide screens."
luxury-landing-sprint,"Luxury Landing Sprint (Base Foundation)","Core Foundation",5000,100,"5-7 Days",ls_macro_core_arch,"Core Responsive Architecture & Luxury Layout","Architecture & Performance",TRUE,1500,30,"Mobile-first responsive layout with server-rendered Next.js App Router DOM, zero layout shift, and Vercel edge deployment.",ls_micro_2,"Next.js App Router SSR DOM",Engine,"Static and server-rendered hydration eliminating content flash and maximizing SEO visibility."
luxury-landing-sprint,"Luxury Landing Sprint (Base Foundation)","Core Foundation",5000,100,"5-7 Days",ls_macro_core_arch,"Core Responsive Architecture & Luxury Layout","Architecture & Performance",TRUE,1500,30,"Mobile-first responsive layout with server-rendered Next.js App Router DOM, zero layout shift, and Vercel edge deployment.",ls_micro_3,"Edge CDN Global Caching",Speed,"Sub-100ms global static asset delivery via Vercel & Cloudflare Edge network."
luxury-landing-sprint,"Luxury Landing Sprint (Base Foundation)","Core Foundation",5000,100,"5-7 Days",ls_macro_core_arch,"Core Responsive Architecture & Luxury Layout","Architecture & Performance",TRUE,1500,30,"Mobile-first responsive layout with server-rendered Next.js App Router DOM, zero layout shift, and Vercel edge deployment.",ls_micro_4,"Strict SSL / TLS & Automated DNS Setup",Security,"Production HTTPS certificate provisioning with custom domain DNS record verification."
luxury-landing-sprint,"Luxury Landing Sprint (Base Foundation)","Core Foundation",5000,100,"5-7 Days",ls_macro_motion,"Typography, Fluid Motion & Aesthetics","Visual Design & UX",TRUE,1000,20,"Kinetic typography, smooth momentum scrolling with Lenis, and subtle micro-interactions that communicate luxury.",ls_micro_5,"Curated Google / Typekit Font Pairings",Typography,"Editorial typographic hierarchy with zero FOIT (flash of invisible text) preloads."
luxury-landing-sprint,"Luxury Landing Sprint (Base Foundation)","Core Foundation",5000,100,"5-7 Days",ls_macro_motion,"Typography, Fluid Motion & Aesthetics","Visual Design & UX",TRUE,1000,20,"Kinetic typography, smooth momentum scrolling with Lenis, and subtle micro-interactions that communicate luxury.",ls_micro_6,"Smooth Lenis Momentum Scroll",Motion,"Hardware-accelerated inertia scroll preventing jittery trackpad or wheel movement."
luxury-landing-sprint,"Luxury Landing Sprint (Base Foundation)","Core Foundation",5000,100,"5-7 Days",ls_macro_motion,"Typography, Fluid Motion & Aesthetics","Visual Design & UX",TRUE,1000,20,"Kinetic typography, smooth momentum scrolling with Lenis, and subtle micro-interactions that communicate luxury.",ls_micro_7,"IntersectionObserver Reveal Animations",Animation,"Scroll-triggered staggered text reveals and card fades without CPU overhead."
luxury-landing-sprint,"Luxury Landing Sprint (Base Foundation)","Core Foundation",5000,100,"5-7 Days",ls_macro_motion,"Typography, Fluid Motion & Aesthetics","Visual Design & UX",TRUE,1000,20,"Kinetic typography, smooth momentum scrolling with Lenis, and subtle micro-interactions that communicate luxury.",ls_micro_8,"Magnetic Button Pull & Cursor Physics",Micro-UX,"Tactile spring physics on primary CTA buttons for elevated interactive engagement."
luxury-landing-sprint,"Luxury Landing Sprint (Base Foundation)","Core Foundation",5000,100,"5-7 Days",ls_macro_conversion,"Lead Capture & Conversion System","Conversion Infrastructure",TRUE,800,16,"High-converting inquiry forms with real-time validation, instant email alerts to your inbox, and direct WhatsApp routing.",ls_micro_9,"Asynchronous Contact Form with Client Validation",Forms,"Frictionless form with inline error prevention and zero-page-reload submission."
luxury-landing-sprint,"Luxury Landing Sprint (Base Foundation)","Core Foundation",5000,100,"5-7 Days",ls_macro_conversion,"Lead Capture & Conversion System","Conversion Infrastructure",TRUE,800,16,"High-converting inquiry forms with real-time validation, instant email alerts to your inbox, and direct WhatsApp routing.",ls_micro_10,"Instant Email Dispatcher to Business Owner",Alerts,"Automated Resend / SendGrid notification delivering full lead details to your inbox in 2 seconds."
luxury-landing-sprint,"Luxury Landing Sprint (Base Foundation)","Core Foundation",5000,100,"5-7 Days",ls_macro_conversion,"Lead Capture & Conversion System","Conversion Infrastructure",TRUE,800,16,"High-converting inquiry forms with real-time validation, instant email alerts to your inbox, and direct WhatsApp routing.",ls_micro_11,"WhatsApp Direct Floating Action Button",Messaging,"One-tap pre-filled chat link opening WhatsApp with your pre-set greeting message."
luxury-landing-sprint,"Luxury Landing Sprint (Base Foundation)","Core Foundation",5000,100,"5-7 Days",ls_macro_conversion,"Lead Capture & Conversion System","Conversion Infrastructure",TRUE,800,16,"High-converting inquiry forms with real-time validation, instant email alerts to your inbox, and direct WhatsApp routing.",ls_micro_12,"Custom Thank-You State & Lead Confirmation",Conversion,"Branded interactive confirmation toast reassuring prospects their inquiry was safely received."
luxury-landing-sprint,"Luxury Landing Sprint (Base Foundation)","Core Foundation",5000,100,"5-7 Days",ls_macro_accessibility,"Accessibility & Inclusive Design","Usability & Compliance",FALSE,600,12,"Inclusive design accommodating all users with multi-language switching, theme toggles, font scaling, and screen-reader compliance.",ls_micro_13,"Multi-Language Localization Framework (i18n)",Language,"Language switcher allowing international visitors to toggle between languages with URL persistence."
luxury-landing-sprint,"Luxury Landing Sprint (Base Foundation)","Core Foundation",5000,100,"5-7 Days",ls_macro_accessibility,"Accessibility & Inclusive Design","Usability & Compliance",FALSE,600,12,"Inclusive design accommodating all users with multi-language switching, theme toggles, font scaling, and screen-reader compliance.",ls_micro_14,"Dark / Light Mode Aesthetic Theme Switcher",Theme,"Smooth color transition toggle with system preference auto-detection and localStorage save."
luxury-landing-sprint,"Luxury Landing Sprint (Base Foundation)","Core Foundation",5000,100,"5-7 Days",ls_macro_accessibility,"Accessibility & Inclusive Design","Usability & Compliance",FALSE,600,12,"Inclusive design accommodating all users with multi-language switching, theme toggles, font scaling, and screen-reader compliance.",ls_micro_15,"Dynamic Fluid Typography Scaling",Font,"Client font-size adjustment controls (+A / -A) for effortless reading without breaking layout."
